#SampleID	LinkerPrimerSequence	Project	Dataset	Description	sequences_otu_table_mc2_w_tax_no_pynast_failures_min_SWI	sequences_otu_table_mc2_w_tax_no_pynast_failures_min_SWI_chlor_gone	mc2_percent_sequences_bacteria	mc2_percent_sequences_chloroplast	mc2_sequence_after_rarefaction_chlor_gone	mc2_percent_sequences_retained_chlor_gone_rarefied	sequences_otu_table_mc1_w_tax_no_pynast_failures_min_SWI	sequences_otu_table_mc1_w_tax_no_pynast_failures_min_SWI_chlor_gone	mc1_percent_sequences_bacteria	mc1_percent_sequences_chloroplast	m1_sequence_after_rarefaction_chlor_gone	mc1_percent_sequences_retained_chlor_gone_rarefied	Category	Experiment	ExperimentType	StartDate	Treatment	Day	Timepoint	FilterNumber	Event	SamplingDate	Time	Julian	Month	ShortMonth	DayLength	Temp	Salinity	Leucine	ChlA	Phae	Phosphate	Silicate	Nitrite	Nitrate	Ammonium	NitrateNitrite	DOC	PC	PN	LoessDay	Week	AccuriCount	BCDendrogram50PercentSimilar
LAZPALBv6.PAL01220130704F02		LAZ_PAL_Bv6	PAL_012_20130704_F02	Palmer_sea_water_intake_sample	181421	177380	0.98	0.02	43308	0.24	181926	177879	0.98	0.02	43308	0.24	SWI	NA	NA	NA	NA	NA	NA	12	6	7/4/13	NA	185	July	Jul	4.15	-0.8	35.5	0.962035	0.031840332	0.060571868	-999	-999	-999	-999	-999	-999	1	0.02	0	0	0		1
LAZPALBv6.PAL01320130704F02		LAZ_PAL_Bv6	PAL_013_20130704_F02	Palmer_sea_water_intake_sample	185743	180857	0.97	0.03	43308	0.24	186220	181327	0.97	0.03	43308	0.24	SWI	NA	NA	NA	NA	NA	NA	13	6	7/4/13	NA	185	July	Jul	4.15	-0.8	35.5	0.937798	0.06525304	0.10908843	-999	-999	-999	-999	-999	-999	1	0.02	0.01	0	0		1
LAZPALBv6.PAL05420130824F02		LAZ_PAL_Bv6	PAL_054_20130824_F02	Palmer_sea_water_intake_sample	167001	143944	0.86	0.14	43308	0.3	167344	144271	0.86	0.14	43308	0.3	SWI	NA	NA	NA	NA	NA	NA	54	23	8/24/13	NA	236	August	Aug	10.6	-1.05	33		0.07697257	0.078318446	-999	-999	-999	-999	-999	-999	1	0.01	0.01	51	7		1
LAZPALBv6.PAL07220130907F02		LAZ_PAL_Bv6	PAL_072_20130907_F02	Palmer_sea_water_intake_sample	51210	43308	0.85	0.15	43308	1	51288	43381	0.85	0.15	43308	1	SWI	NA	NA	NA	NA	NA	NA	72	30	9/7/13	800	250	September	Sep	11.9	-0.98	36.5	0.813296	0.009383344	0.008030464	2.092	65.282	-999	-999	-999	29.483	1	0.01	0	65	9		1
LAZPALBv6.PAL07320130907F02		LAZ_PAL_Bv6	PAL_073_20130907_F02	Palmer_sea_water_intake_sample	497199	411251	0.83	0.17	43308	0.11	497671	411664	0.83	0.17	43308	0.11	SWI	NA	NA	NA	NA	NA	NA	73	30	9/7/13	800	250	September	Sep	11.9	-0.98	36.5	0.474513	0.01079466	0.011385032	2.135	61.538	-999	-999	-999	29.44	1	0.01	0	65	9		1
LAZPALBv6.PAL07420130907F02		LAZ_PAL_Bv6	PAL_074_20130907_F02	Palmer_sea_water_intake_sample	168352	133253	0.79	0.21	43308	0.33	168594	133470	0.79	0.21	43308	0.32	SWI	NA	NA	NA	NA	NA	NA	74	30	9/7/13	800	250	September	Sep	11.9	-0.98	36.5	0.664641	0.012320407	0.017237241	2.144	62.837	-999	-999	-999	29.619	1	0.02	0.01	65	9		1
LAZPALBv6.PAL08120130919F02		LAZ_PAL_Bv6	PAL_081_20130919_F02	Palmer_sea_water_intake_sample	166117	126079	0.76	0.24	43308	0.34	166450	126394	0.76	0.24	43308	0.34	SWI	NA	NA	NA	NA	NA	NA		32	9/19/13	1330	262	September	Sep	15.51666667	-0.85		0.907414	0.157914811	0.146185265	-999	-999	-999	-999	-999	-999	1	0.02	0.01	77	11		1
LAZPALBv6.PAL08220130919F02		LAZ_PAL_Bv6	PAL_082_20130919_F02	Palmer_sea_water_intake_sample	187501	142696	0.76	0.24	43308	0.3	187974	143151	0.76	0.24	43308	0.3	SWI	NA	NA	NA	NA	NA	NA		32	9/19/13	1330	262	September	Sep	15.51666667	-0.85		1.167561	0.142352192	0.145800502	-999	-999	-999	-999	-999	-999	1	0.04	0.01	77	11		1
LAZPALBv6.PAL08320130919F02		LAZ_PAL_Bv6	PAL_083_20130919_F02	Palmer_sea_water_intake_sample	548650	434105	0.79	0.21	43308	0.1	549862	435272	0.79	0.21	43308	0.1	SWI	NA	NA	NA	NA	NA	NA		32	9/19/13	1330	262	September	Sep	15.51666667	-0.85		1.094953	0.174392878	0.226491308	-999	-999	-999	-999	-999	-999	1	0.02	0.01	77	11		1
LAZPALBv6.PAL12320131021F02		LAZ_PAL_Bv6	PAL_123_20131021_F02	Palmer_sea_water_intake_sample	484449	427961	0.88	0.12	43308	0.1	484742	428241	0.88	0.12	43308	0.1	SWI	NA	NA	NA	NA	NA	NA		42	10/21/13	1100	294	October	Oct	16.68333333	-0.22	36.2	3.3824	0.439232035	0.313704353	1.845	63.556	-999	-999	-999	26.135	1	0.03	0.01	109	16		1
